测试,#genre#
1,http://v6.hbpoon.top/gz200131.mp4
mp3,http://v6.hbpoon.top/%E8%AE%B8%E9%9D%96%E9%9F%B5%20-%20%E6%A2%A6%E4%BC%B4(Live).mp3
我的100分男友,https://video.sigujx.com/m3u8/Ha246420d1576483ba26a43332177a936l.m3u8
霍哥廚房35,http://v6.hbpoon.top/%E9%9C%8D%E5%93%A5%E5%BB%9A%E6%88%BF35.mkv
港台,#genre#
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5ad32c0d0000bbd049ef0eab717740e2
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8
翡翠台,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts
翡翠台,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
VIU TV,P2p://sdgdklwos.finetv.tv:9906/59fd171800092000026eb35003107eef
VIU TV6,P2p://sdgdklwos.finetv.tv:9906/5ad32bae0001dd1049ed9be114c818f0
J2,P2p://sdgdklwos.finetv.tv:9906/59fd25e80008aaec02a88fc1476f2edf
J2,P2p://sdgdklwos.finetv.tv:9906/5ad32b7d000cca4049ecdf4812f47470
J2,vjms://121.14.222.75:8500:3502/live/cid=368
明珠台,P2p://sdgdklwos.finetv.tv:9906/59fd0d0a0009323a02476cb020fe16f9
明珠台,P2p://sdgdklwos.finetv.tv:9906/5ad32b590006aefa49ec511272c5262e
廣東IPTV,#genre#
CCTV-8電視劇,rtsp://183.59.156.50/PLTV/88888905/224/3221229797/10000100000000060000000009924384_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVluuRqj6CZgFsmyEpHRMs5Rw==:20200101000000,
CCTV-9紀錄,rtsp://183.59.156.50/PLTV/88888905/224/3221227617/10000100000000060000000004662501_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlcKibC3lh1/sLAUOfY4HYNw==:20200101000000,
CCTV-10科教,rtsp://183.59.156.50/PLTV/88888905/224/3221227631/10000100000000060000000004662500_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlgbTRLXL0rpC7PKRFdxsCcg==:20200101000000,
CCTV-11戲曲,rtsp://183.59.156.50/PLTV/88888905/224/3221227319/10000100000000060000000001066511_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl+CkxL6P37cmNnuxKC7zMaQ==:20200101000000,
CCTV-12社會與法,rtsp://183.59.156.50/PLTV/88888905/224/3221227576/10000100000000060000000004662502_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl1XFnZb9TsC6+ULpBtPyMCg==:20200101000000,
CCTV-13新聞,rtsp://183.59.156.50/PLTV/88888905/224/3221227258/10000100000000060000000001066424_0.smil?accountinfo=5dpYB1Swj107MfHhVOxZ2K33ohByVvaWt9xqMvxr0zKlbpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYNub5+7UwGdUOBpfWXQpkzzByZvYGWGvuj6/OVfWpHU3w==:20200101000000,
CCTV-14少兒,rtsp://183.59.156.50/PLTV/88888905/224/3221227573/10000100000000060000000004662499_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl/n1sfrOhV234PBsG+Oej2Q==:20200101000000,
CCTV-15音樂,rtsp://183.59.156.50/PLTV/88888905/224/3221227281/10000100000000060000000001066427_0.smil?accountinfo=5dpYB1Swj107MfHhVOxZ2K33ohByVvaWt9xqMvxr0zKlbpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYNub5+7UwGdUOBpfWXQpkzzRxeClr2tptMP1xxloQlvxw==:20200101000000,
CCTV-NEWS,rtsp://183.59.156.50/PLTV/88888905/224/3221227064/10000100000000060000000000698831_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlbyNUoof261J5BJ33+tyKcA==:20200101000000,
CCTV-17農業,rtsp://183.59.156.50/PLTV/88888905/224/3221229870/10000100000000060000000010232873_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlj7qas2DgUqAywBdP52h2Bg==:20200101000000,
